coverage	seqs	seqnames	Type	Chromosome	Position	seq_type
3	1	1	gain	1	1	gain_1
3	2	1	gain	1	2	gain_1
1	3	1	gain	1	3	gain_1
2	4	1	gain	1	4	gain_1
3	5	1	gain	1	5	gain_1
2	6	1	gain	1	6	gain_1
0	7	1	gain	1	7	gain_1
0	8	1	gain	1	8	gain_1
2	9	1	gain	1	9	gain_1
1	10	1	gain	1	10	gain_1
1	11	1	gain	1	11	gain_1
0	12	1	gain	1	12	gain_1
0	13	1	gain	1	13	gain_1
0	14	1	gain	1	14	gain_1
0	15	1	gain	1	15	gain_1
0	16	1	gain	1	16	gain_1
0	17	1	gain	1	17	gain_1
0	18	1	gain	1	18	gain_1
0	19	1	gain	1	19	gain_1
1	20	1	gain	1	20	gain_1
2	21	1	gain	1	21	gain_1
1	22	1	gain	1	22	gain_1
2	23	1	gain	1	23	gain_1
2	24	1	gain	1	24	gain_1
0	25	1	gain	1	25	gain_1
0	26	1	gain	1	26	gain_1
0	27	1	gain	1	27	gain_1
0	28	1	gain	1	28	gain_1
0	29	1	gain	1	29	gain_1
2	30	1	gain	1	30	gain_1
1	31	1	gain	1	31	gain_1
2	32	1	gain	1	32	gain_1
1	33	1	gain	1	33	gain_1
0	34	1	gain	1	34	gain_1
1	35	1	gain	1	35	gain_1
2	36	1	gain	1	36	gain_1
0	37	1	gain	1	37	gain_1
3	38	1	gain	1	38	gain_1
2	39	1	gain	1	39	gain_1
1	40	1	gain	1	40	gain_1
2	41	1	gain	1	41	gain_1
2	42	1	gain	1	42	gain_1
2	43	1	gain	1	43	gain_1
2	44	1	gain	1	44	gain_1
5	45	1	gain	1	45	gain_1
4	46	1	gain	1	46	gain_1
4	47	1	gain	1	47	gain_1
5	48	1	gain	1	48	gain_1
2	49	1	gain	1	49	gain_1
4	50	1	gain	1	50	gain_1
2	51	1	gain	1	51	gain_1
0	52	1	gain	1	52	gain_1
0	53	1	gain	1	53	gain_1
1	54	1	gain	1	54	gain_1
2	55	1	gain	1	55	gain_1
1	56	1	gain	1	56	gain_1
0	57	1	gain	1	57	gain_1
0	58	1	gain	1	58	gain_1
1	59	1	gain	1	59	gain_1
0	60	1	gain	1	60	gain_1
